Tf_name	All	max_kmer_score	phatsCons	dn_hg_score2	dnase	tss_dist	phyloP100way	
Ap2	0.970135491648	0.9506539415	0.967666931646	0.969089334844	0.953011968164	0.959990599745	0.967958609389	
Arid3a	0.866632861488	0.844763709228	0.863579286251	0.86173066939	0.684566929036	0.857016243461	0.86537054021	
Egr1	0.900502616276	0.885682052714	0.898827350095	0.898770654008	0.879891281914	0.874528402676	0.897632847309	
Elk1	0.969275778615	0.939891608808	0.967022892283	0.969810434438	0.95648244396	0.953682047213	0.969115016862	
Elk4	0.954743398567	0.903039220508	0.95450031731	0.954172210099	0.941138496033	0.933680805068	0.955064607729	
Ets1	0.933826732221	0.929184316629	0.928540544154	0.936103137293	0.894332597644	0.893551394591	0.931535392907	
Gabp	0.948075339317	0.921118285569	0.947126630948	0.948123826236	0.918888191522	0.923208661232	0.946101446348	
Gata3	0.893704578072	0.850918413261	0.892917492485	0.891826590008	0.831444011268	0.884047429495	0.891372747237	
Gr	0.798990885417	0.786783854167	0.782986111111	0.78369140625	0.625678168403	0.743489583333	0.798665364583	
Hnf4a	0.970608107445	0.950396819212	0.969439453825	0.969684568588	0.953239480819	0.964407962408	0.970636105716	
Irf3	0.944339651867	0.942295049239	0.939768553736	0.931645216697	0.880468193349	0.911863514169	0.938042344615	
Jund	0.903146284306	0.897852074186	0.900802620563	0.903712147524	0.860627209546	0.87850253538	0.90066610853	
Mafk	0.903049121152	0.747485025962	0.900803251109	0.901557287529	0.877393410202	0.900978840341	0.900364020944	
Max	0.921803842506	0.87245694471	0.919754191963	0.922187303325	0.878122136269	0.902528542149	0.917888149816	
Pou2f2	0.940094564567	0.915335349221	0.939496470997	0.930059601684	0.902385436099	0.918262158084	0.93914000428	
Rxra	0.723353941597	0.728787188913	0.728329133821	0.725238102862	0.610882838284	0.678728601563	0.716420587974	
Sp1	0.903654912447	0.899946134806	0.900228173715	0.90120298933	0.820231455013	0.870105910816	0.900230318696	
Srf	0.903823704759	0.865537892444	0.89930884127	0.89477897325	0.864988976671	0.86744721906	0.899883764897	
Tbp	0.89240656163	0.891902998339	0.889870992545	0.891326198742	0.855238989025	0.855585728472	0.889149114803	
Tcf7l2	0.837286419753	0.771252880658	0.83385829904	0.833764060357	0.775942798354	0.831194650206	0.83365260631	
