Tf_name	All	None	Phats_hit	Phylo_hit	Phats_wh	Phylo_wh	
Ap2	0.949858090725	0.907929307765	0.94121966963	0.932447953596	0.951678535625	0.955433501841	
Arid3a	0.862391277184	0.798563212439	0.85884713233	0.86155497279	0.856819003328	0.859964592813	
Egr1	0.876303524384	0.836229710207	0.869205829863	0.868676686618	0.866136107031	0.874003690709	
Elk1	0.960234397937	0.936452608609	0.95764538782	0.958975441381	0.954898155128	0.959323626265	
Elk4	0.942991521998	0.893231394162	0.93891552469	0.940068248699	0.936508705338	0.936990369124	
Ets1	0.920955016287	0.85365510223	0.913151697401	0.914713392352	0.9024027772	0.919322028113	
Gabp	0.932009284237	0.900231870151	0.930982198189	0.929356688487	0.924565914677	0.929684726263	
Gata3	0.874391439419	0.854668828584	0.870467712345	0.867278648687	0.874669943062	0.876944543947	
Gr	0.752387152778	0.607367621528	0.739963107639	0.72370062934	0.738091362847	0.750244140625	
Hnf4a	0.955751358724	0.936937444011	0.951876455694	0.946221901714	0.955688896601	0.959940131037	
Irf3	0.936889243807	0.860171898073	0.930287311416	0.933281931427	0.921692407778	0.9309154932	
Jund	0.88072877099	0.850248712202	0.877788168713	0.873017924973	0.874664331753	0.877943252818	
Mafk	0.894842734734	0.874663170107	0.892657708202	0.891024681213	0.895705727101	0.895836331769	
Max	0.907126551878	0.880688523275	0.90221911205	0.894960404993	0.898649908906	0.905777239412	
Pou2f2	0.906492414109	0.871572540358	0.900711246088	0.896995248703	0.899212693519	0.906496927466	
Rxra	0.685774780619	0.558988119354	0.684532631791	0.679915002581	0.667355474584	0.67767393017	
Sp1	0.875798403966	0.811622388668	0.871797333359	0.868957822549	0.864469998091	0.872480431491	
Srf	0.867271666043	0.838705539073	0.864755656208	0.866706995513	0.859666369244	0.866239604361	
Tbp	0.838294880742	0.75314548726	0.830816732568	0.829089846761	0.817485391891	0.82858789247	
Tcf7l2	0.839523731139	0.754969478738	0.835145679012	0.835881138546	0.833399794239	0.838649314129	
