Tf_name	AUC	AUPRC	
Ap2	0.973679072025	0.972379940486	
Arid3a	0.878253625115	0.850818672232	
Egr1	0.90743653559	0.919716938316	
Elk1	0.971554532831	0.972619882986	
Elk4	0.959884544651	0.963116230411	
Ets1	0.942547618006	0.934323174736	
Gabp	0.951483190137	0.953551175892	
Gata3	0.90344959895	0.904195950166	
Gr	0.793197094552	0.738550740122	
Hnf4a	0.969906072438	0.969972691807	
Irf3	0.934837756995	0.905957639886	
Jund	0.90960994995	0.917056662996	
Mafk	0.917198697469	0.925579806414	
Max	0.926318278571	0.916943044892	
Pou2f2	0.941664622873	0.939276783085	
Rxra	0.717451348823	0.687162187942	
Sp1	0.903563619942	0.887726668236	
Srf	0.914607961604	0.92286121408	Tf_name	AUC	AUPRC	
Ap2	
